name,sum,trueName
Ак- Суйский,0,Ак-Суйский
Ак- Талинсий,1,Ак-Талинский
Аксыйский,0,Аксыйский
Ала-Букинский,0,Ала-Букинский
Алайский,1,Алайский
Аламудунский,6,Аламудунский
Араванский,0,Араванский
Ат- Башинский,0,Ат-Башинский
Базар-Коргонский,1,Базар-Коргонский
Бакай- Атинский,0,Бакай-Атинский
Баткенский,1,Баткенский
Бишкек,80,Бишкек
Джеты- Огузский,0,Джети-Огузский
Джумгальский,3,Джумгальский
Жайылский,2,Жайылский
Иссык-Кульский,4,Иссык-Кульский
Кадамжайский,2,Кадамжайский
Кара- Буринский,0,Кара-Буринский
Кара- Кульджинский,1,Кара-Кульджинский
Кара- Суйский,5,Кара-Суйский
Кеминский,2,Кеминский
Кочкорский,0,Кочкорский
Ляйлякский,1,Ляйлякский
Манасский,1,Манасский
Московский,0,Московский
Нарынский,3,Нарынский
Ноокатский,2,Ноокатский
Ноокенский,0,Ноокенский
Ош,7,Ош
Панфиловский,1,Панфиловский
Сокулукский,4,Сокулукский
Сузакский,7,Сузакский
Таласский,6,Таласский
Тогуз-Тороуский,0,Тогуз-Тороуский
Токтогульский,1,Токтогульский
Тонский,0,Тонский
Тюпский,0,Тюпский
Узгенский,4,Узгенский
Чаткальский,1,Чаткальский
Чон- Алайский,0,Чон-Алайский
Чуйский,4,Чуйский
Ысык- Атинкий,4,Ысык-Атинский
